ld : 0.0, str1.length = 12772, str2.length = 12772
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12772, str2.length = 12772
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12772, str2.length = 12772
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 30.0, str1.length = 12772, str2.length = 12742
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12742, str2.length = 12742
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12742, str2.length = 12742
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 18.0, str1.length = 12742, str2.length = 12724
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12724, str2.length = 12724
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12724, str2.length = 12724
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
